,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
b0029,0.014492760665813289,-0.003558484158604189,-0.01570443527387219,0.0028052436130570914,0.00602806538306709,-0.005232247096001908,-0.0007682937481518177,0.0074243364869461155,-0.006489662914476024,-0.0063663478516128216,-0.0034524740372088737,0.0018239433670821955,0.002180065623704792,0.01773443428676419,-0.005223313817990955,0.002134855138162837,-0.00815284115960505,0.0018005035905595069,-0.007318752562242004,-0.006288980834263478
b0030,-0.009615988877470014,0.001775553305666629,-0.0011947841373021388,0.010391901249934055,-0.011387949835200329,-0.010832183132023275,0.0014330746716885974,0.004626466854892914,-0.01867421616456509,-0.017489025704569682,0.004069975099542793,0.0017316842735031683,0.00207852156258369,0.024082164849431098,0.05937628401075711,-0.010797669598260347,0.001778474419968592,0.0005765599124519877,-0.013011617686698087,-0.008181602211414124
b0031,-0.004283783110154072,0.016732391984096318,0.005976234951365746,0.02176201698834936,-0.008080537095462297,-0.016122893129212387,-0.005007634613680937,0.007838079147374936,-0.007766756819786236,-0.019723905263570343,-0.019554732630664404,-0.004227845401079298,-0.004101575598288574,-0.008094960733918197,-0.005047326229318811,-0.006475137918396303,-0.010851133087830516,0.015198693171557006,0.03791507234817631,-0.015234709393741467
b0032,-0.010199218314021636,0.012979135863560363,0.0011475537510500916,-0.05650471361704923,-0.0088088820984804,-0.013706899627063835,-0.0023468908377643565,-0.04016306947028091,-0.0017296154973215547,-0.013169501923931374,0.017231807811817053,-0.024908267844832205,-0.01895694697441508,0.04387417831562786,0.007003342001394136,-0.013153738475374186,0.021201932711863207,-0.09032107693164866,0.08069855965319078,-0.013232165041365627
b0033,-0.008245054289939848,0.01631647032783072,0.01988901859479416,-0.05085528576671535,0.022228589884253747,-0.017264343191441354,-0.0021402394062532935,-0.024170495169283584,-0.026262460282730313,-0.007472636840278327,0.01561728459480776,0.0002165309319210066,-0.004073328590051337,0.03463360266633621,-0.0038158550324803977,-0.011015770682316229,0.02591499481552583,-0.08971698866685189,0.07376700526464262,-0.004775827113514058
b0034,-0.029731169485720577,0.005268075275249009,0.04670671884870268,-0.018552710190682407,-0.025473308949057503,-0.01261860185366187,-0.007816790040573299,-0.018432712139655666,0.028168128327473646,-0.013667022075248378,-0.015229767211827217,0.005353013412404049,-0.001863627941199756,0.012093269036342127,0.02372114206488828,0.007826666937475383,0.00895097012168114,-0.07114042259516036,0.03393381146031508,-0.02979908510416439
b0035,-0.011425583458258767,0.011625506045277234,0.014203218335373127,0.0010495661906390393,-0.013441631238323695,-0.009980908221895976,-0.00596691988294116,-0.00407550006761165,0.006920500594733375,0.0037555573163705865,0.007849676737585515,0.0027694203827168824,-0.010011963183645911,0.006408950591920393,0.003126529311491613,-0.018850271353442177,0.0013360011335782629,-0.017067564432625276,0.0008185600028547288,0.002874504206634459
b0036,-0.006936826250534235,-0.0012200013489812242,0.001545630399912567,0.007222265142779647,-0.00992158486752445,-0.0116686275994978,-0.00928091635839614,-0.03058433227426942,0.005343702193220135,0.016291019250410394,0.012639382986543522,0.011530555977482069,0.00015573309134850607,0.018190031453008144,0.005142122571604786,-0.0013174845909176315,-0.0099061182833481,-0.014293474975752271,0.005971671692538084,-0.0009091517214298877
b0037,-0.006146029152578295,0.00031380444313728576,0.008204441719869473,-0.009550939440522984,-0.010540307776369296,-0.0030695108310274323,-0.00808097950504571,-0.010164576064064292,0.012363860288100359,-0.013115705156236878,0.0026545726069980144,0.005594367936029179,-0.0008167445117876956,0.008772779505699055,-0.006665870775258215,-0.017892312870115064,0.006016256260350397,-0.018352832064895186,0.0009302346034631876,-0.008700185517803627
b0038,-0.00026538776392857276,-0.008685518808086505,0.00954696764360071,0.007542623074079199,0.00015896710513254954,-0.008695784081931985,-0.008161514776320102,-0.004416987144219162,-0.01071716185535194,-0.010707187113863328,-0.00207516219126598,0.008123193442184247,-0.01076341133282874,0.0031601869214191894,-0.010380145226462687,-0.003318259041977484,-0.006263426272215763,-0.00589722884976312,-0.011790783445199564,-0.01501514256048816
