,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
b0011,0.009062801370756117,-0.004940085653842721,0.00010765208113367083,-0.010311637521113816,0.009339898808337991,-0.004266780039161743,0.011330191612151482,0.0012588034101385173,0.008324904591362738,-0.0037907264187756295,-0.0001302841026170775,-0.006539760223153397,-0.0216474038110732,-0.006004109447981581,-0.0012559971905221814,-0.000816736182936705,0.0029989214517109316,0.01823817855173911,0.0023092226991660828,0.0028628220428150047,0.0051742977944804255,0.0002740313744205867,-0.012851120151519964,-0.006835334654655555,-0.007958505152400876,-0.003506791196971609,0.006157004639458214,-0.004991061998915053,0.01006341722466746,0.0023458503123104384,-0.003152133554922454,-0.0012587893011855337,-0.010654577195832295,0.0014680063571704512,-0.006720107130226183,0.014671619749154275,0.012544102749404042,0.001311812522665751,-0.01540912576734018
b0012,0.0036216642383569858,0.008625574852749293,-0.005633891026138007,0.008377813592007505,-0.00507238349323669,0.0018093910596127555,-0.006518821500067307,-0.011198331640704403,-0.017427902626776574,0.0005535153105054676,-0.003292297144466781,0.018831640520466018,0.011532411128403343,-0.011975510421233791,0.0006505936258297232,0.009816827800533423,-0.015091347747912081,0.017269035227404625,0.00516258668161279,-0.01219365627609453,0.0009778796745062135,-0.003136136375605894,0.00432967905293122,-0.005633411340877142,-0.0009541521497578344,-0.00042937950880287496,0.002713763483330176,0.008771979700225257,-0.0013972536720185055,-0.00938919891079824,0.0011534237014220899,0.010103568767831882,-0.004974431370377306,-0.0034012012460951898,-0.000717890001615992,-0.009175442995832723,0.007189103720117187,0.0063765747356259546,0.00518297858249527
b0013,0.01766430895963251,-0.007458926612643524,-0.004093100785024847,-0.003965630406252938,0.01725209567246424,-0.01134696203034204,0.03170263344499497,-0.008027569449758397,0.004704485361287866,0.016264009218492557,0.003084806475373375,0.0032262152820231637,-0.003537901512120802,-0.007001798082337115,-7.547032049799737e-05,-0.002966116071184118,0.01361886877953979,0.01857310125488842,-0.015900926026028765,-0.0047824571985057435,0.002430903756661917,-0.014693474305647115,-0.010668901791771556,-0.004552951729782954,-0.010351483092940634,0.005494240348299837,0.022630530862015198,-0.0008141495201168008,0.005214432692646585,-0.0015936066983921243,-0.0003612538450867517,-0.011440782829331747,-0.0006650858172153918,0.00014944515559578656,0.04695643684343879,-0.008010529356466331,-0.008102982339032345,-0.013658413532564665,-0.014406092907536553
b0014,0.05128809542965113,-0.019101823926620822,-0.0346956782073047,-0.0027936565053831635,0.04871920837900482,-0.008779693194873128,0.013301906279024207,-0.02091673609251594,-0.0014763558922980657,0.0017301323819903808,0.022069761814197755,-0.01707845420081925,0.00667598703078875,-0.008304769855814792,-0.013022919952746542,-0.0031797508443002238,0.010864344459843031,-0.015149044224346516,0.008203287937306998,0.009360009394157584,0.025790949442828514,0.013865781235778998,-0.009074552943637827,0.0400559491201311,0.021315795347274832,-0.005566376209990082,0.033469067972802614,-0.010082297851197497,0.011797069893901259,-0.004381372310125785,-0.01096130562111417,-0.03685183537110231,-0.018151434319115277,0.03031224857152602,-0.05739226289098235,-0.008399091800094677,0.0937804656156996,0.009916162657526425,0.022842571425579064
b0015,0.028811548512802244,-0.012415711897812135,-0.025049756843791123,-0.009838070531263156,0.029708705540340524,-0.00105587914400283,0.018129834318129645,-0.01786212352791115,0.008596337473167563,-0.006647719751837946,0.016462649763814285,-0.013684236477287682,0.0010387296492599576,-0.0021856682662189848,-0.01864157240312313,-0.0012514082646605967,0.01696491794743833,-0.005001942045780777,0.0007815131423011971,0.010153148107516528,0.011543940197746192,0.0003642272893347401,-0.005156625834515796,0.020365063974925893,0.020251984913340976,-0.002044443494998852,0.014028334069904667,-0.00819089239017835,-0.003869816187485678,0.005703352079067543,-0.010072537380981466,-0.02667306062504287,-0.026354532275523646,0.01965493615978892,-0.041268522545359225,-0.013954649902975723,0.07800694108790111,0.001915615732260343,0.013111344501540821
b0016,0.01089713624297614,-0.010013222517696773,-0.015430919282449464,-0.0030579878701005882,0.003909384157881923,0.00568663585046213,0.0001823079631462068,-0.002986198930429374,0.000547737750861223,-0.009880608253833629,0.00441672126060987,-0.004894486394316531,0.012626984453949486,-0.004601788103004829,-0.012830511842242764,0.003852896591746103,0.003237073075212578,0.009086814385576994,-0.003931551695615878,0.009223783434033904,0.004056756867885714,0.0014582362013497916,-0.0045445873141735735,0.01743005242967912,0.0003509267572353811,0.0040759888249534545,-0.008390141257618682,-0.012577106592719732,0.002808755284789001,0.009168144352928424,-0.009321659395911496,-0.011149832836229022,-0.01160853750252087,0.0030252872869623265,-0.024370999722441597,-0.011830920126303133,0.03587616162583533,-0.012694369596623954,0.0037553885788404297
b0018,-0.0014320087840574223,-0.004479818654811083,-0.008171409642574023,-0.012296518259309037,0.016098893797774235,-0.011914827339355463,-0.009112087898090992,0.004188799278976647,0.0033207284650904616,-0.0017918693453343054,-0.03215178032505985,-0.014233940024095906,0.02757909806860794,0.0007702514536542386,-0.005734670187552535,-0.016985394790312802,0.011022370127128265,-0.0027365697163842856,0.010674646589593344,-0.00010712017433026324,0.0180551649767413,0.001284333149913436,-0.006160766111276763,0.010919614229064838,0.018426768137020915,0.022094684132103935,0.01499774038045324,-0.012760667039595138,-0.007064097601987674,0.0122687585140963,0.010652396104476798,-0.005279065026761327,-0.0050344397852652495,0.010631152132962068,0.008353587175715025,-0.0025434264718858534,-0.016033328161137558,0.02141213043886758,0.01783337321762001
b0019,0.010472666423823987,-0.022706889945434638,0.010893407140305076,0.0015360509254017292,0.006549534135021056,-0.02446375711932747,-0.003944944291516465,0.002533841550191248,-0.01297089833380931,-0.027362643309193406,-0.00156508891230141,-0.013170441543566546,-0.021555519171551775,0.006308460810814017,-0.007253689451354841,-0.00944432440537909,0.021221788464028554,0.0080943914792102,0.0009666866263468568,-0.010632218901855544,0.007116311374760595,0.018693020057557734,0.0024791091510313634,-0.0016118902871870623,0.00810132478139973,-0.006543561866356092,0.010797074897408158,-0.019692417780848126,-0.004920242665542926,0.004541277864615381,0.0027098592212670197,-0.02351701432014002,-0.013954775040392322,0.00492327944807264,-0.005696328172857241,-0.007492133196929521,-0.025911026266756555,0.02769160235646511,0.00832077837531288
b0020,0.009408058211444742,-0.016567281896150882,0.009847518115120732,-0.0015646216410349434,-0.0005104410736406456,-0.015292353462130792,0.001042415555298624,-0.00522881178868767,-0.0069146550872413014,-0.009830749072687958,0.00686979127033825,-0.004294380681253875,0.0045159754509543895,0.0016742007993964627,-0.006296994146376415,-0.010021745053776976,0.014073680282866813,0.004920248903825518,-0.0014539219316430853,-0.004904170821421354,-0.007416582256864363,0.010396642611486685,-0.00035119402438626686,0.0015737268594250813,0.009311943250298244,-0.008524450097043062,-0.014103009515479227,-0.010975349059926167,0.004051028012434203,-0.0007714387009573695,0.0020057657139925214,-0.001927469527423319,-0.0032293039380082394,-0.0024416693113351825,0.008277623261093398,-0.013626475327708979,-0.004777985134570368,0.01059098324346478,0.008772749020395485
b0021,-0.021085008619415067,0.018969435655279407,-0.0057275983361946975,-0.0037580473787562126,-0.006063135103520936,0.014413266752858549,-0.01532373543953114,0.007136844799298142,-0.013532147275208323,-0.008719228066966409,0.0017866813138407768,0.003800244139409131,-0.024148433023768956,-0.017736966520489696,0.001599602764164336,0.021372892691207363,-0.017524077742540195,0.024645529144228958,0.015681329632022335,-0.03227472850329432,0.001641846215505581,-0.009117073243451537,0.006975845893666727,-0.008439556717071056,-0.013165157525908688,-0.008961720732054488,-0.0023875732547315527,0.005144022013480502,-0.01258065708810768,0.012744234563556072,0.005828402869988968,-0.002624513206988844,0.001531688853316373,0.0058218333217494615,0.03002820071344709,-0.004511027285197067,-0.00688687409629507,-0.005607935898493838,-0.007422175465045869
