,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
b0014,-0.016771736209783054,-0.012895070752100113,-0.020168195118084528,0.025542340111922628,0.0849703868430344,-0.02880962323114619,0.00408317379479914,-0.017524436240365367,-0.02262339727161148,-0.029897909129904327,-0.0031765168609626487,0.0439627984887565,0.01954366657809885,-0.030255579170296587,0.007209213695545639,-0.012075489999829055,-0.011153341167423348,-0.015753710269463674,0.05922275592722769,-0.005697742129544099,-0.00020002936123473923,0.002193859257237923,-0.004449890101964494,0.021565342968220158,-0.004209780000031843,-0.005713416173482227,-0.06381420735768746,0.040905405430711764
b0015,-0.002435897796850415,-0.006627191544494969,-0.02617442081833789,0.006216575382462001,0.06735830301044941,-0.02673275319603924,-0.005876187100797339,-0.010943474321594805,-0.015327568926386974,-0.020294807691045018,-0.009265793483801535,0.026619412855347684,0.0033010229245548383,-0.02160546867659832,0.016492482370377325,-0.01603637247723022,-0.0046523488132103,-0.014537281445156449,0.040944410356584374,-0.003173712181639639,0.006706876319550058,-0.004662467037510534,-0.00967490169507279,0.020594498905050534,0.007895947318579708,-0.002814395839454125,-0.04450680627943475,0.01950947624523092
b0016,-0.006489987034089776,-0.0031550303449412727,-0.010860974711680231,0.007724371205166084,0.02847923552884787,-0.007442458436724637,-0.0037137327131674005,-0.013930494547668752,-0.004542721109973668,-0.006050615880567571,0.0020748658253805894,0.019251433332815943,-0.013145638593530426,-0.01661863818706369,0.006809535768486564,-0.010333120936929039,-0.00429517986107438,-0.009354655927803275,0.013663721512933725,0.001527542222329933,-0.011021780780104233,-0.012137361708135916,-0.0049574238146590085,0.009821802372701973,0.003993531906722984,-0.00278381164240128,-0.013047829568466078,-0.0032622398163697397
b0018,0.001873656587377878,0.0198679646121578,0.0012967472133764426,-0.004351534348219831,-0.015650070285449614,-0.026768067010323842,0.006238641522793401,-0.006093776501059604,0.013377624317754775,0.028810134348756206,0.011863966012169087,0.018045647134242983,0.008607035393114054,-0.002191538507268422,-0.02196748799223687,-0.0043471256510787355,-0.005643956430319751,0.017443296328229514,0.002499089475006127,-0.01188956514318449,-0.0023760824631745424,-0.00412238243550972,-0.006557158645167035,0.0026813779831393555,-0.008591126629804376,0.009652586249870596,-0.01481021630650282,0.013875272668862496
b0019,0.01045277808575233,0.006290773024092136,-0.004385441298748035,0.002002903621492554,-0.039533047420052245,-0.026132715678272977,-0.0036975240774274267,-0.010413555496227602,-0.0011266071696786374,-0.00855382910595445,0.02242463843501387,0.006132994713835768,0.0030508660599089096,0.019186517533023965,0.005643473065961769,-0.010748891806219074,0.00427152137819388,-0.0041833296979464285,0.02810964059257836,-0.00575184839411885,-0.0008260785199785322,-0.004931321553301903,-0.0027408633084891037,0.007368770049992824,-0.0135705242735411,-0.010566623202764329,-0.0264015250373647,0.010289685508619565
b0020,-0.0029990070475842986,-0.005235903601482549,0.00163098717508841,0.0020035640070684316,-0.008397047636849925,-0.013686353699869137,-0.013905262844482357,-0.006610802120610749,-0.010172313210539626,0.010282547322693007,0.0008243409846779881,0.004125344933650301,-0.0035185426312778763,0.01423261477826112,-0.0014634466885908382,-0.008696041168343834,0.0008699030763145374,-0.0018032719778981593,0.019233467944737893,-0.0012305139127168515,-8.04443539910742e-05,-0.009854008556108105,-0.003272510247994514,-0.0027965534696920307,-0.009387294468018666,-0.00834588946867569,-0.004590152172462036,-0.014454294016618994
b0021,0.010505166782039905,0.008615455847275168,-0.0028119256299012486,-0.009208354680594779,-0.015671533610699187,0.016568756989612382,0.007135597021173548,0.002069504962670767,0.007180818833918401,0.005640883529120424,0.017230221955097547,-0.013313634846074328,0.008466354427384352,-0.011013498277204114,0.02590763004104843,-0.0009675145237313647,-0.015497116381981263,0.0015296127534298965,-0.017800105457891312,0.009704831027985868,-0.017548257974870193,-0.014112542674716505,-0.010701050594178082,0.01881842957619659,0.007687049513391574,0.009881460022749634,0.01695847962676271,-0.0068265009538679144
b0022,0.008897052540913764,-0.01245256416468368,0.0002132383773150884,-0.0018729507088819178,0.0022349511093879173,0.01063651936919647,-0.003485418875346511,0.007950842512834922,-4.6431275180521995e-05,-0.0019173565685688366,0.018056503897787762,-0.007862584790838914,0.0077510363834093834,-0.010418032947892144,0.00990129449882516,0.0015096699122739386,-0.018056276994640744,-0.005748635527428108,-0.002856563633551432,0.006300518774968971,-0.029195249845281438,-0.018486395635485136,-0.0069836862159142745,0.007822629998864709,-0.016435674669625183,0.007729442731403417,0.0505208538763249,-0.008252264203661918
b0023,0.045844099023522496,-0.005874253801709118,0.008459358140305151,-0.005253353342588563,0.029156046590684347,0.0014886038112994797,-0.0018319576728189218,-0.006833699522463324,-0.008732316689362541,0.003023167296801634,0.03454332602023088,-0.0033022491612748196,-0.02673238995637425,0.008506906860920553,0.0032342066032134444,-0.004207423819463961,0.003250164283069657,-0.004865601086456932,-0.016565809933003082,-0.0017476004186866693,0.035278351724292695,0.020650623497365572,-0.002692689492135073,0.0016377926671411118,-0.01496397178733842,2.7495501384714573e-05,0.030343997153673793,-0.008980850367086261
b0024,-0.012826309933433536,-0.010045978240028322,-0.008006495901413382,0.010291646751942338,0.0010815084207105932,-0.0041685564666517835,-0.00790010932236551,-0.014661507733825418,-0.004091856011758048,0.008742104472749044,0.007622884539045689,0.0019091959116397778,0.029471442755846594,0.010392087561767778,0.0164882822796418,-0.002147372021554435,0.0011846729072562837,0.008788865234021288,-0.006380072336560719,0.012910460087638808,0.0065091874737141665,-0.011078990033225844,-0.004055052014250425,-0.010230039151871734,0.005684534076717532,-0.012076536275024655,0.006646904098218117,-0.025486514789439037
